2026-09-06 16:44:52 ok       ours=3/3 foreign=1 mem=1968/8151MiB util=99% | 33404:08_hmc_seed_benchmark.py; 39048:28_crossover_scan.py; 35976:28_crossover_scan.py; 9244:unknown
2026-09-06 16:46:54 ok       ours=3/3 foreign=1 mem=1968/8151MiB util=98% | 33404:08_hmc_seed_benchmark.py; 39048:28_crossover_scan.py; 35976:28_crossover_scan.py; 9244:unknown
2026-09-06 16:48:56 ok       ours=2/3 foreign=1 mem=1605/8151MiB util=99% | 39048:28_crossover_scan.py; 35976:28_crossover_scan.py; 9244:unknown
2026-09-06 16:50:58 ok       ours=3/3 foreign=1 mem=5168/8151MiB util=100% | 39048:28_crossover_scan.py; 35976:28_crossover_scan.py; 22552:03_run_ladder.py; 9244:unknown
2026-09-06 16:53:00 ok       ours=3/3 foreign=1 mem=5168/8151MiB util=100% | 39048:28_crossover_scan.py; 35976:28_crossover_scan.py; 22552:03_run_ladder.py; 9244:unknown
2026-09-06 16:55:02 ok       ours=3/3 foreign=1 mem=5946/8151MiB util=100% | 39048:28_crossover_scan.py; 35976:28_crossover_scan.py; 22552:03_run_ladder.py; 9244:unknown
2026-09-06 16:57:04 ok       ours=3/3 foreign=1 mem=5168/8151MiB util=99% | 39048:28_crossover_scan.py; 35976:28_crossover_scan.py; 22552:03_run_ladder.py; 9244:unknown
2026-09-06 16:59:06 ok       ours=3/3 foreign=1 mem=5168/8151MiB util=100% | 39048:28_crossover_scan.py; 35976:28_crossover_scan.py; 22552:03_run_ladder.py; 9244:unknown
2026-09-06 17:01:08 ok       ours=3/3 foreign=1 mem=5168/8151MiB util=100% | 39048:28_crossover_scan.py; 35976:28_crossover_scan.py; 22552:03_run_ladder.py; 9244:unknown
2026-09-06 17:03:10 ok       ours=3/3 foreign=1 mem=5168/8151MiB util=100% | 39048:28_crossover_scan.py; 35976:28_crossover_scan.py; 22552:03_run_ladder.py; 9244:unknown
2026-09-06 17:05:12 ok       ours=3/3 foreign=1 mem=5168/8151MiB util=99% | 39048:28_crossover_scan.py; 35976:28_crossover_scan.py; 22552:03_run_ladder.py; 9244:unknown
2026-09-06 17:07:13 ok       ours=3/3 foreign=1 mem=5168/8151MiB util=99% | 39048:28_crossover_scan.py; 35976:28_crossover_scan.py; 22552:03_run_ladder.py; 9244:unknown
2026-09-06 17:09:16 ok       ours=3/3 foreign=1 mem=5168/8151MiB util=100% | 39048:28_crossover_scan.py; 35976:28_crossover_scan.py; 22552:03_run_ladder.py; 9244:unknown
2026-09-06 17:11:17 ok       ours=3/3 foreign=1 mem=5168/8151MiB util=100% | 39048:28_crossover_scan.py; 35976:28_crossover_scan.py; 22552:03_run_ladder.py; 9244:unknown
2026-09-06 17:13:20 ok       ours=3/3 foreign=1 mem=5168/8151MiB util=100% | 39048:28_crossover_scan.py; 35976:28_crossover_scan.py; 22552:03_run_ladder.py; 9244:unknown
2026-09-06 17:15:22 ok       ours=3/3 foreign=1 mem=5168/8151MiB util=100% | 39048:28_crossover_scan.py; 35976:28_crossover_scan.py; 22552:03_run_ladder.py; 9244:unknown
2026-09-06 17:17:24 ok       ours=3/3 foreign=1 mem=5168/8151MiB util=99% | 39048:28_crossover_scan.py; 35976:28_crossover_scan.py; 22552:03_run_ladder.py; 9244:unknown
2026-09-06 17:19:25 ok       ours=3/3 foreign=1 mem=5168/8151MiB util=99% | 39048:28_crossover_scan.py; 35976:28_crossover_scan.py; 22552:03_run_ladder.py; 9244:unknown
2026-09-06 17:21:27 ok       ours=3/3 foreign=1 mem=5168/8151MiB util=100% | 39048:28_crossover_scan.py; 35976:28_crossover_scan.py; 22552:03_run_ladder.py; 9244:unknown
2026-09-06 17:23:29 ok       ours=3/3 foreign=1 mem=5168/8151MiB util=100% | 39048:28_crossover_scan.py; 35976:28_crossover_scan.py; 22552:03_run_ladder.py; 9244:unknown
2026-09-06 17:25:31 ok       ours=3/3 foreign=1 mem=5168/8151MiB util=99% | 39048:28_crossover_scan.py; 35976:28_crossover_scan.py; 22552:03_run_ladder.py; 9244:unknown
2026-09-06 17:27:33 ok       ours=3/3 foreign=1 mem=5168/8151MiB util=100% | 39048:28_crossover_scan.py; 35976:28_crossover_scan.py; 22552:03_run_ladder.py; 9244:unknown
2026-09-06 17:29:35 ok       ours=3/3 foreign=1 mem=5168/8151MiB util=100% | 39048:28_crossover_scan.py; 35976:28_crossover_scan.py; 22552:03_run_ladder.py; 9244:unknown
2026-09-06 17:31:37 ok       ours=3/3 foreign=1 mem=5168/8151MiB util=100% | 39048:28_crossover_scan.py; 35976:28_crossover_scan.py; 22552:03_run_ladder.py; 9244:unknown
2026-09-06 17:33:39 ok       ours=3/3 foreign=1 mem=5168/8151MiB util=99% | 39048:28_crossover_scan.py; 35976:28_crossover_scan.py; 22552:03_run_ladder.py; 9244:unknown
2026-09-06 17:35:41 ok       ours=3/3 foreign=1 mem=5168/8151MiB util=100% | 39048:28_crossover_scan.py; 35976:28_crossover_scan.py; 22552:03_run_ladder.py; 9244:unknown
2026-09-06 17:37:43 ok       ours=3/3 foreign=1 mem=5168/8151MiB util=100% | 39048:28_crossover_scan.py; 35976:28_crossover_scan.py; 22552:03_run_ladder.py; 9244:unknown
2026-09-06 17:39:45 ok       ours=3/3 foreign=1 mem=5946/8151MiB util=100% | 39048:28_crossover_scan.py; 35976:28_crossover_scan.py; 22552:03_run_ladder.py; 9244:unknown
2026-09-06 17:41:47 ok       ours=3/3 foreign=1 mem=5168/8151MiB util=100% | 39048:28_crossover_scan.py; 35976:28_crossover_scan.py; 22552:03_run_ladder.py; 9244:unknown
2026-09-06 17:43:49 ok       ours=3/3 foreign=1 mem=5168/8151MiB util=99% | 39048:28_crossover_scan.py; 35976:28_crossover_scan.py; 22552:03_run_ladder.py; 9244:unknown
2026-09-06 17:45:51 ok       ours=3/3 foreign=1 mem=5168/8151MiB util=100% | 39048:28_crossover_scan.py; 35976:28_crossover_scan.py; 22552:03_run_ladder.py; 9244:unknown
2026-09-06 17:47:53 ok       ours=3/3 foreign=1 mem=5168/8151MiB util=100% | 39048:28_crossover_scan.py; 35976:28_crossover_scan.py; 22552:03_run_ladder.py; 9244:unknown
2026-09-06 17:49:55 ok       ours=3/3 foreign=1 mem=5168/8151MiB util=100% | 39048:28_crossover_scan.py; 35976:28_crossover_scan.py; 22552:03_run_ladder.py; 9244:unknown
2026-09-06 17:51:57 ok       ours=3/3 foreign=1 mem=5168/8151MiB util=100% | 39048:28_crossover_scan.py; 35976:28_crossover_scan.py; 22552:03_run_ladder.py; 9244:unknown
2026-09-06 17:53:59 ok       ours=3/3 foreign=1 mem=5168/8151MiB util=100% | 39048:28_crossover_scan.py; 35976:28_crossover_scan.py; 22552:03_run_ladder.py; 9244:unknown
2026-09-06 17:56:01 ok       ours=3/3 foreign=1 mem=5168/8151MiB util=99% | 39048:28_crossover_scan.py; 35976:28_crossover_scan.py; 22552:03_run_ladder.py; 9244:unknown
2026-09-06 17:58:03 ok       ours=3/3 foreign=1 mem=5168/8151MiB util=100% | 39048:28_crossover_scan.py; 35976:28_crossover_scan.py; 22552:03_run_ladder.py; 9244:unknown
2026-09-06 18:00:05 ok       ours=3/3 foreign=1 mem=5168/8151MiB util=100% | 39048:28_crossover_scan.py; 35976:28_crossover_scan.py; 22552:03_run_ladder.py; 9244:unknown
2026-09-06 18:02:07 ok       ours=3/3 foreign=1 mem=5168/8151MiB util=100% | 39048:28_crossover_scan.py; 35976:28_crossover_scan.py; 22552:03_run_ladder.py; 9244:unknown
2026-09-06 18:04:09 ok       ours=3/3 foreign=1 mem=5168/8151MiB util=100% | 39048:28_crossover_scan.py; 35976:28_crossover_scan.py; 22552:03_run_ladder.py; 9244:unknown
2026-09-06 18:06:11 ok       ours=3/3 foreign=1 mem=5168/8151MiB util=100% | 39048:28_crossover_scan.py; 35976:28_crossover_scan.py; 22552:03_run_ladder.py; 9244:unknown
2026-09-06 18:08:13 ok       ours=3/3 foreign=1 mem=5168/8151MiB util=100% | 39048:28_crossover_scan.py; 35976:28_crossover_scan.py; 22552:03_run_ladder.py; 9244:unknown
2026-09-06 18:10:15 ok       ours=3/3 foreign=1 mem=5168/8151MiB util=99% | 39048:28_crossover_scan.py; 35976:28_crossover_scan.py; 22552:03_run_ladder.py; 9244:unknown
2026-09-06 18:12:17 ok       ours=3/3 foreign=1 mem=5168/8151MiB util=100% | 39048:28_crossover_scan.py; 35976:28_crossover_scan.py; 22552:03_run_ladder.py; 9244:unknown
2026-09-06 18:14:19 ok       ours=3/3 foreign=1 mem=5168/8151MiB util=99% | 39048:28_crossover_scan.py; 35976:28_crossover_scan.py; 22552:03_run_ladder.py; 9244:unknown
2026-09-06 18:16:21 ok       ours=3/3 foreign=1 mem=5168/8151MiB util=100% | 39048:28_crossover_scan.py; 35976:28_crossover_scan.py; 22552:03_run_ladder.py; 9244:unknown
2026-09-06 18:18:23 ok       ours=3/3 foreign=1 mem=5168/8151MiB util=100% | 39048:28_crossover_scan.py; 35976:28_crossover_scan.py; 22552:03_run_ladder.py; 9244:unknown
2026-09-06 18:20:25 ok       ours=3/3 foreign=1 mem=5168/8151MiB util=99% | 39048:28_crossover_scan.py; 35976:28_crossover_scan.py; 22552:03_run_ladder.py; 9244:unknown
2026-09-06 18:22:27 ok       ours=3/3 foreign=1 mem=5168/8151MiB util=100% | 39048:28_crossover_scan.py; 35976:28_crossover_scan.py; 22552:03_run_ladder.py; 9244:unknown
2026-09-06 18:24:29 ok       ours=3/3 foreign=1 mem=5168/8151MiB util=100% | 39048:28_crossover_scan.py; 35976:28_crossover_scan.py; 22552:03_run_ladder.py; 9244:unknown
2026-09-06 18:26:31 ok       ours=3/3 foreign=1 mem=5168/8151MiB util=99% | 39048:28_crossover_scan.py; 35976:28_crossover_scan.py; 22552:03_run_ladder.py; 9244:unknown
2026-09-06 18:28:33 ok       ours=3/3 foreign=1 mem=5946/8151MiB util=100% | 39048:28_crossover_scan.py; 35976:28_crossover_scan.py; 22552:03_run_ladder.py; 9244:unknown
2026-09-06 18:30:35 ok       ours=3/3 foreign=1 mem=3950/8151MiB util=100% | 39048:28_crossover_scan.py; 35976:28_crossover_scan.py; 22552:03_run_ladder.py; 9244:unknown
2026-09-06 18:32:38 ok       ours=3/3 foreign=1 mem=4006/8151MiB util=99% | 39048:28_crossover_scan.py; 35976:28_crossover_scan.py; 22552:03_run_ladder.py; 9244:unknown
2026-09-06 18:34:40 ok       ours=3/3 foreign=1 mem=3998/8151MiB util=100% | 39048:28_crossover_scan.py; 35976:28_crossover_scan.py; 22552:03_run_ladder.py; 9244:unknown
2026-09-06 18:36:42 ok       ours=3/3 foreign=1 mem=3998/8151MiB util=100% | 39048:28_crossover_scan.py; 35976:28_crossover_scan.py; 22552:03_run_ladder.py; 9244:unknown
