queued: 36 L=32, 65 L=16/L=8
[ 2.94h] ok      L32b109.384 in  24.0 min  (75/101 done, 24+0 queued)
[ 2.96h] ok      L32b105.423 in  24.1 min  (76/101 done, 23+0 queued)
[ 3.18h] ok      L32b79.1213 in  22.3 min  (77/101 done, 22+0 queued)
[ 3.29h] ok       L32b69.666 in  20.8 min  (78/101 done, 21+0 queued)
[ 3.30h] ok      L32b67.4996 in  20.7 min  (79/101 done, 20+0 queued)
[ 3.51h] ok      L32b65.1294 in  20.0 min  (80/101 done, 19+0 queued)
[ 3.62h] ok      L32b60.2041 in  20.0 min  (81/101 done, 18+0 queued)
[ 3.63h] ok      L32b58.1503 in  19.4 min  (82/101 done, 17+0 queued)
[ 3.84h] ok      L32b50.6966 in  19.9 min  (83/101 done, 16+0 queued)
[ 3.95h] ok      L32b48.9485 in  19.3 min  (84/101 done, 15+0 queued)
[ 3.95h] ok      L32b50.1067 in  19.8 min  (85/101 done, 14+0 queued)
[ 4.15h] ok      L32b46.4473 in  18.8 min  (86/101 done, 13+0 queued)
[ 4.26h] ok      L32b40.9962 in  18.1 min  (87/101 done, 12+0 queued)
[ 4.26h] ok      L32b45.0584 in  18.7 min  (88/101 done, 11+0 queued)
[ 4.44h] ok      L32b29.9653 in  17.2 min  (89/101 done, 10+0 queued)
[ 4.53h] ok       L32b27.793 in  16.5 min  (90/101 done, 9+0 queued)
[ 4.53h] ok      L32b25.0485 in  16.5 min  (91/101 done, 8+0 queued)
[ 4.72h] ok      L32b23.3695 in  16.5 min  (92/101 done, 7+0 queued)
[ 4.80h] ok      L32b19.4844 in  15.9 min  (93/101 done, 6+0 queued)
[ 4.80h] ok       L32b19.391 in  15.9 min  (94/101 done, 5+0 queued)
[ 4.98h] ok      L32b18.5155 in  15.8 min  (95/101 done, 4+0 queued)
[ 5.04h] ok      L32b12.1743 in  14.5 min  (96/101 done, 3+0 queued)
[ 5.04h] ok      L32b10.4346 in  14.6 min  (97/101 done, 2+0 queued)
[ 5.22h] ok      L32b10.2429 in  14.4 min  (98/101 done, 1+0 queued)
[ 5.28h] ok         L32b8.91 in  13.9 min  (99/101 done, 0+0 queued)
[ 5.28h] ok      L32b10.0876 in  14.4 min  (100/101 done, 0+0 queued)
[ 5.38h] ok       L32b8.3757 in   9.9 min  (101/101 done, 0+0 queued)
all rungs finished in 5.38 h (101 ok, 0 failed)
cpu | torch 2.2.2 | 1 threads
merged 101 shard summaries -> /Users/deeptimanpanda/Documents/inverse_rg_testing/out/u2_2d/data_random/summary.json (101 rungs)
MERGE-DONE 0
